area_type,availability,location,size(in BHK),total_sqft,per_Sqft,bath,furnishing,transaction,parking,price
Builder_Floor,Ready_to_move,Budh Vihar Phase 1,2,500,4000,1,Semi-Furnished,Resale,1,2000000
Apartment,Ready_to_move,Budh Vihar Phase 1,2,444,4000,2,Unfurnished,Resale,1,2000000
Builder_Floor,Ready_to_move,Budh Vihar,1,400,4000,1,Furnished,Resale,1,2000000
Builder_Floor,Ready_to_move,Budh Vihar,3,729,3567,4,Furnished,Resale,1,2600000
Builder_Floor,Ready_to_move,Budh Vihar Phase 1,6,4050,1259,3,Furnished,Resale,1,5100000
Builder_Floor,Ready_to_move,Budh Vihar Phase 2,6,2400,2500,4,Furnished,Resale,1,6000000
Builder_Floor,Ready_to_move,Budh Vihar,2,450,2500,2,Furnished,Resale,1,4000000
Builder_Floor,Ready_to_move,Budh Vihar Phase 2,2,405,2500,3,Furnished,Resale,1,6200000
Builder_Floor,Ready_to_move,Budh Vihar Phase 1,1,666,5255,2,Furnished,Resale,1,3500000
Apartment,Ready_to_move,"Saptrishi Apartment, Rohini Sector 23",2,1000,5255,2,Semi-Furnished,Resale,1,7600000
Builder_Floor,Ready_to_move,Rohini Sector 24,4,1360,5255,3,Semi-Furnished,New_Property,1,13500000
Builder_Floor,Ready_to_move,Rohini Sector 24,4,1550,5255,3,Semi-Furnished,New_Property,1,12500000
Builder_Floor,Ready_to_move,Rohini Sector 23,3,850,5255,2,Semi-Furnished,New_Property,1,6500000
Builder_Floor,Ready_to_move,Rohini Sector 23,4,2170,5255,4,Unfurnished,New_Property,2,22000000
Builder_Floor,Ready_to_move,Rohini Sector 23,3,720,5255,2,Semi-Furnished,New_Property,1,6000000
Builder_Floor,Ready_to_move,Rohini Sector 23,3,850,5255,2,Semi-Furnished,New_Property,1,7300000
Builder_Floor,Ready_to_move,Rohini Sector 23,3,950,5255,2,Semi-Furnished,New_Property,1,7600000
Builder_Floor,Ready_to_move,Rohini Sector 23,4,2300,5255,4,Semi-Furnished,New_Property,1,20000000
Builder_Floor,Ready_to_move,Rohini Sector 22,4,1300,5255,4,Semi-Furnished,New_Property,1,15000000
Builder_Floor,Ready_to_move,Rohini Sector 20,3,1100,5255,2,Semi-Furnished,New_Property,1,6200000
Builder_Floor,Ready_to_move,Rohini Sector 20,3,1030,5255,2,Furnished,New_Property,1,6200000
Builder_Floor,Ready_to_move,"Rohini ( 1 km from Shahbad Dairy, Rohini)",1,350,,1,Semi-Furnished,New_Property,1,2300000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,750,6667,2,Semi-Furnished,New_Property,1,5000000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,720,6528,2,Semi-Furnished,New_Property,1,4700000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,800,6875,2,Semi-Furnished,New_Property,1,5500000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",1,350,5714,1,Semi-Furnished,New_Property,1,2000000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,980,7449,2,Semi-Furnished,New_Property,1,7300000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",4,1600,8125,3,Semi-Furnished,New_Property,1,13000000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,1450,7931,3,Semi-Furnished,New_Property,1,11500000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,445,7931,2,Semi-Furnished,New_Property,1,2800000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",1,380,5789,1,Semi-Furnished,New_Property,1,2200000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,680,6471,2,Semi-Furnished,New_Property,1,4400000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,1600,8438,3,Semi-Furnished,New_Property,1,13500000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,630,6508,2,Semi-Furnished,New_Property,1,4100000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,1500,8000,2,Semi-Furnished,New_Property,1,12000000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,550,6364,2,Semi-Furnished,New_Property,1,3500000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",4,2500,6000,3,Semi-Furnished,New_Property,1,15000000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",5,2800,6250,4,Semi-Furnished,New_Property,1,17500000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",1,300,6333,1,Semi-Furnished,New_Property,1,1900000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,800,6875,2,Semi-Furnished,New_Property,1,5500000
